sample_id	tool	metric	value	unit	source_file
SRR1039509	star	Number of reads unmapped: too short	419402		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039509/SRR1039509.Log.final.out
SRR1039509	star	% of reads unmapped: too short	2.04%		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039509/SRR1039509.Log.final.out
SRR1039509	star	Number of reads unmapped: other	5005		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039509/SRR1039509.Log.final.out
SRR1039509	star	% of reads unmapped: other	0.02%		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039509/SRR1039509.Log.final.out
SRR1039509	star	Number of chimeric reads	0		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039509/SRR1039509.Log.final.out
SRR1039509	star	% of chimeric reads	0.00%		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039509/SRR1039509.Log.final.out
SRR1039512	star	Started job on	Aug 09 23:20:46		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039512/SRR1039512.Log.final.out
SRR1039512	star	Started mapping on	Aug 09 23:21:08		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039512/SRR1039512.Log.final.out
SRR1039512	star	Finished on	Aug 09 23:23:17		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039512/SRR1039512.Log.final.out
SRR1039512	star	Mapping speed, Million of reads per hour	758.97		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039512/SRR1039512.Log.final.out
SRR1039512	star	Number of input reads	27196274		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039512/SRR1039512.Log.final.out
SRR1039512	star	Average input read length	125		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039512/SRR1039512.Log.final.out
SRR1039512	star	Uniquely mapped reads number	25997908		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039512/SRR1039512.Log.final.out
SRR1039512	star	Uniquely mapped reads %	95.59%		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039512/SRR1039512.Log.final.out
SRR1039512	star	Average mapped length	125.63		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039512/SRR1039512.Log.final.out
SRR1039512	star	Number of splices: Total	11895298		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039512/SRR1039512.Log.final.out
SRR1039512	star	Number of splices: Annotated (sjdb)	11835824		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039512/SRR1039512.Log.final.out
SRR1039512	star	Number of splices: GT/AG	11794947		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039512/SRR1039512.Log.final.out
SRR1039512	star	Number of splices: GC/AG	78607		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039512/SRR1039512.Log.final.out
SRR1039512	star	Number of splices: AT/AC	7401		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039512/SRR1039512.Log.final.out
SRR1039512	star	Number of splices: Non-canonical	14343		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039512/SRR1039512.Log.final.out
SRR1039512	star	Mismatch rate per base, %	0.17%		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039512/SRR1039512.Log.final.out
SRR1039512	star	Deletion rate per base	0.00%		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039512/SRR1039512.Log.final.out
SRR1039512	star	Deletion average length	1.49		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039512/SRR1039512.Log.final.out
SRR1039512	star	Insertion rate per base	0.01%		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039512/SRR1039512.Log.final.out
SRR1039512	star	Insertion average length	1.34		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039512/SRR1039512.Log.final.out
