sample_id	tool	metric	value	unit	source_file
SRR1039513	fastp	before_filtering.q30_bases	1958277231		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039513/SRR1039513.fastp.json
SRR1039513	fastp	before_filtering.q20_rate	0.964514		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039513/SRR1039513.fastp.json
SRR1039513	fastp	before_filtering.q30_rate	0.923842		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039513/SRR1039513.fastp.json
SRR1039513	fastp	before_filtering.read1_mean_length	63		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039513/SRR1039513.fastp.json
SRR1039513	fastp	before_filtering.read2_mean_length	63		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039513/SRR1039513.fastp.json
SRR1039513	fastp	before_filtering.gc_content	0.487481		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039513/SRR1039513.fastp.json
SRR1039513	fastp	after_filtering.total_reads	32183760		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039513/SRR1039513.fastp.json
SRR1039513	fastp	after_filtering.total_bases	2026203998		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039513/SRR1039513.fastp.json
SRR1039513	fastp	after_filtering.q20_bases	1988364959		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039513/SRR1039513.fastp.json
SRR1039513	fastp	after_filtering.q30_bases	1910337314		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039513/SRR1039513.fastp.json
SRR1039513	fastp	after_filtering.q20_rate	0.981325		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039513/SRR1039513.fastp.json
SRR1039513	fastp	after_filtering.q30_rate	0.942816		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039513/SRR1039513.fastp.json
SRR1039513	fastp	after_filtering.read1_mean_length	62		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039513/SRR1039513.fastp.json
SRR1039513	fastp	after_filtering.read2_mean_length	62		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039513/SRR1039513.fastp.json
SRR1039513	fastp	after_filtering.gc_content	0.484281		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039513/SRR1039513.fastp.json
SRR1039516	fastp	before_filtering.total_reads	54597940		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039516/SRR1039516.fastp.json
SRR1039516	fastp	before_filtering.total_bases	3439670220		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039516/SRR1039516.fastp.json
SRR1039516	fastp	before_filtering.q20_bases	3315402593		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039516/SRR1039516.fastp.json
SRR1039516	fastp	before_filtering.q30_bases	3179463758		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039516/SRR1039516.fastp.json
SRR1039516	fastp	before_filtering.q20_rate	0.963872		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039516/SRR1039516.fastp.json
SRR1039516	fastp	before_filtering.q30_rate	0.924351		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039516/SRR1039516.fastp.json
SRR1039516	fastp	before_filtering.read1_mean_length	63		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039516/SRR1039516.fastp.json
SRR1039516	fastp	before_filtering.read2_mean_length	63		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039516/SRR1039516.fastp.json
SRR1039516	fastp	before_filtering.gc_content	0.495261		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039516/SRR1039516.fastp.json
SRR1039516	fastp	after_filtering.total_reads	52247014		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039516/SRR1039516.fastp.json
SRR1039516	fastp	after_filtering.total_bases	3289522574		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039516/SRR1039516.fastp.json
SRR1039516	fastp	after_filtering.q20_bases	3225314524		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039516/SRR1039516.fastp.json
SRR1039516	fastp	after_filtering.q30_bases	3101920168		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039516/SRR1039516.fastp.json
SRR1039516	fastp	after_filtering.q20_rate	0.980481		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039516/SRR1039516.fastp.json
SRR1039516	fastp	after_filtering.q30_rate	0.94297		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039516/SRR1039516.fastp.json
SRR1039516	fastp	after_filtering.read1_mean_length	62		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039516/SRR1039516.fastp.json
SRR1039516	fastp	after_filtering.read2_mean_length	62		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039516/SRR1039516.fastp.json
SRR1039516	fastp	after_filtering.gc_content	0.492459		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039516/SRR1039516.fastp.json
SRR1039517	fastp	before_filtering.total_reads	68596520		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039517/SRR1039517.fastp.json
SRR1039517	fastp	before_filtering.total_bases	4321580760		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039517/SRR1039517.fastp.json
SRR1039517	fastp	before_filtering.q20_bases	4166546744		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039517/SRR1039517.fastp.json
SRR1039517	fastp	before_filtering.q30_bases	3987741907		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039517/SRR1039517.fastp.json
SRR1039517	fastp	before_filtering.q20_rate	0.964126		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039517/SRR1039517.fastp.json
SRR1039517	fastp	before_filtering.q30_rate	0.922751		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039517/SRR1039517.fastp.json
SRR1039517	fastp	before_filtering.read1_mean_length	63		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039517/SRR1039517.fastp.json
SRR1039517	fastp	before_filtering.read2_mean_length	63		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039517/SRR1039517.fastp.json
SRR1039517	fastp	before_filtering.gc_content	0.497873		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039517/SRR1039517.fastp.json
SRR1039517	fastp	after_filtering.total_reads	65742090		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039517/SRR1039517.fastp.json
SRR1039517	fastp	after_filtering.total_bases	4138729054		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039517/SRR1039517.fastp.json
SRR1039517	fastp	after_filtering.q20_bases	4055378778		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039517/SRR1039517.fastp.json
SRR1039517	fastp	after_filtering.q30_bases	3892852645		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039517/SRR1039517.fastp.json
